iter	Passed	Remaining
0	10	5052
1	16	4137
2	21	3605
3	26	3287
4	72	7208
5	80	6602
6	86	6102
7	91	5598
8	94	5156
9	100	4912
10	104	4665
11	108	4397
12	110	4152
13	116	4057
14	119	3871
15	122	3706
16	125	3556
17	128	3435
18	133	3383
19	137	3292
20	140	3210
21	145	3152
22	149	3101
23	203	4027
24	251	4774
25	256	4682
26	262	4606
27	267	4513
28	271	4410
29	276	4339
30	281	4251
31	285	4181
32	290	4104
33	295	4045
34	300	3992
35	308	3977
36	314	3933
37	318	3870
38	324	3840
39	330	3797
40	339	3795
41	345	3768
42	350	3728
43	356	3693
44	362	3661
45	369	3649
46	377	3635
47	380	3580
48	385	3544
49	391	3524
50	396	3491
51	401	3458
52	407	3440
53	412	3403
54	416	3370
55	421	3339
56	425	3306
57	429	3276
58	436	3260
59	440	3232
60	445	3207
61	453	3200
62	458	3178
63	464	3165
64	469	3144
65	474	3120
66	480	3104
67	486	3088
68	492	3076
69	498	3060
70	503	3040
71	508	3023
72	513	3004
73	519	2992
74	527	2986
75	532	2972
76	540	2970
77	548	2969
78	554	2957
79	560	2942
80	567	2936
81	571	2913
82	575	2890
83	580	2876
84	584	2855
85	588	2834
86	594	2822
87	598	2802
88	602	2781
89	606	2763
90	612	2751
91	616	2733
92	620	2714
93	626	2706
94	630	2688
95	634	2669
96	640	2662
97	645	2648
98	650	2635
99	655	2622
100	661	2612
101	666	2600
102	671	2586
103	676	2574
104	681	2563
105	686	2551
106	691	2541
107	697	2533
108	704	2527
109	709	2516
110	714	2504
111	720	2496
112	726	2487
113	731	2475
114	738	2471
115	744	2463
116	749	2454
117	755	2445
118	760	2434
119	765	2425
120	771	2416
121	776	2405
122	783	2402
123	789	2393
124	794	2384
125	801	2378
126	806	2368
127	813	2362
128	818	2354
129	823	2343
130	831	2341
131	836	2331
132	842	2325
133	849	2319
134	854	2311
135	861	2306
136	868	2300
137	873	2292
138	881	2288
139	886	2279
140	892	2271
141	898	2265
142	903	2256
143	910	2250
144	915	2240
145	922	2236
146	929	2230
147	934	2222
148	940	2216
149	946	2208
150	952	2200
151	958	2194
152	964	2186
153	970	2180
154	976	2173
155	982	2167
156	988	2160
157	994	2152
158	999	2144
159	1006	2137
160	1011	2130
161	1017	2122
162	1022	2114
163	1029	2109
164	1035	2103
165	1042	2097
166	1047	2089
167	1053	2082
168	1060	2076
169	1068	2073
170	1073	2065
171	1079	2058
172	1101	2081
173	1106	2073
174	1114	2069
175	1119	2061
176	1125	2053
177	1132	2048
178	1137	2039
179	1143	2032
180	1149	2025
181	1154	2017
182	1160	2010
183	1165	2002
184	1171	1994
185	1178	1989
186	1184	1981
187	1189	1974
188	1195	1967
189	1202	1961
190	1207	1954
191	1213	1946
192	1220	1941
193	1227	1935
194	1232	1928
195	1238	1921
196	1244	1914
197	1252	1910
198	1258	1903
199	1265	1898
200	1271	1892
201	1278	1885
202	1284	1879
203	1293	1876
204	1299	1870
205	1306	1864
206	1313	1859
